name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Regular Fit Striped Spread Collar Casual Shirt,youth first ,men,shirts,3.7,"3,193",144,₹999,₹299,70%
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER ,men,shirts,4.1,"1,317",46,"₹1,799",₹665,63%
Men Regular Fit Checkered Spread Collar Casual Shirt,FATTY MOUSE ,men,shirts,Unknown,Unknown,Unknown,"₹1,299",₹284,78%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Printed Spread Collar Casual Shirt,Voroxy ,men,shirts,3.9,538,26,"₹1,499",₹299,80%
Men Regular Fit Solid Spread Collar Formal Shirt,METRONAUT ,men,shirts,3.7,"2,724",107,"₹1,899",₹299,84%
Men Tailored Fit Printed Cut Away Collar Casual Shirt,U.S. POLO ASSN. ,men,shirts,4.2,6,0,"₹2,199","₹1,049",52%
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Slim Fit Solid Spread Collar Casual Shirt,HIGHLANDER ,men,shirts,4,"3,960",558,₹999,₹455,54%
Men Regular Fit Checkered Spread Collar Casual Shirt,Dark Age ,men,shirts,3.7,"5,914",392,"₹1,399",₹289,79%
Men Regular Fit Self Design Lapel Collar Casual Shirt,Voroxy ,men,shirts,4.1,"2,576",108,"₹1,999",₹399,80%
Men Slim Fit Solid Spread Collar Casual Shirt,HIGHLANDER ,men,shirts,4.1,"14,818","1,432",₹999,₹455,54%
Men Regular Fit Self Design Spread Collar Casual Shirt,GLORISTAR ,men,shirts,Unknown,Unknown,Unknown,"₹1,799",₹484,73%
Men Regular Fit Solid Spread Collar Casual Shirt,MILDIN ,men,shirts,3.9,"2,580",99,"₹1,999",₹379,81%
Men Regular Fit Solid Formal Shirt,StyleMODO ,men,shirts,4,"1,739",101,"₹2,199",₹399,81%
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Slim Fit Solid Spread Collar Formal Shirt,ARROW ,men,shirts,4.1,453,19,"₹1,899",₹796,58%
Men Regular Fit Checkered Spread Collar Casual Shirt,sti ,men,shirts,4,"28,593","1,877",₹999,₹249,75%
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Slim Fit Checkered Spread Collar Casual Shirt,The Indian Garage Co. ,men,shirts,4,659,47,"₹1,749",₹560,67%
Men Regular Fit Solid Spread Collar Casual Shirt  (Pack of 2),youth first ,men,shirts,3.7,"22,430","1,232",₹999,₹462,53%
Men Regular Fit Solid Spread Collar Casual Shirt,VeBNoR ,men,shirts,4,"3,34,013","26,129",₹999,₹299,70%
Men Slim Fit Solid Formal Shirt,ARROW ,men,shirts,4.3,199,10,"₹1,899",₹796,58%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Solid Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"15,704",872,"₹1,499",₹419,72%
Men Slim Fit Printed Cut Away Collar Casual Shirt,Allen Solly ,men,shirts,4.1,"2,542",212,"₹1,549",₹929,40%
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER ,men,shirts,3.7,151,5,"₹1,899",₹550,71%
Men Regular Fit Solid Mandarin Collar Casual Shirt,VeBNoR ,men,shirts,4,"2,45,420","16,162",₹999,₹299,70%
Men Regular Fit Solid Mandarin Collar Casual Shirt,VeBNoR ,men,shirts,4,"2,45,420","16,162",₹999,₹299,70%
Men Regular Fit Striped Spread Collar Casual Shirt,VeBNoR ,men,shirts,4.1,22,1,₹999,₹249,75%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Slim Fit Solid Mandarin Collar Casual Shirt,HIGHLANDER ,men,shirts,3.9,"1,726",80,"₹1,999",₹579,71%
Men Regular Fit Dyed/Ombre Spread Collar Casual Shirt,Voroxy ,men,shirts,4,"3,625",179,"₹1,499",₹299,80%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Solid Spread Collar Casual Shirt,Voroxy ,men,shirts,3.9,"6,350",269,"₹2,199",₹299,86%
Men Slim Fit Checkered Cut Away Collar Casual Shirt,Allen Solly ,men,shirts,4.2,321,18,"₹1,799","₹1,049",41%
Men Slim Fit Solid Mandarin Collar Casual Shirt,HIGHLANDER ,men,shirts,4.2,"32,587","3,674",₹999,₹455,54%
Men Regular Fit Checkered Spread Collar Casual Shirt,clinch fashion ,men,shirts,Unknown,3,0,"₹2,999",₹359,88%
Men Regular Fit Striped Casual Shirt,METRONAUT ,men,shirts,3.4,16,0,"₹1,999",₹299,85%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Slim Fit Solid Spread Collar Casual Shirt,HIGHLANDER ,men,shirts,4.1,"2,211",158,₹999,₹455,54%
Men Relaxed Fit Fit Printed Spread Collar Casual Shirt,youth first ,men,shirts,4,"4,310",221,₹999,₹249,75%
Men Regular Fit Striped Spread Collar Casual Shirt,youth first ,men,shirts,3.7,"3,193",144,₹999,₹299,70%
Men Regular Fit Solid Spread Collar Casual Shirt,Allen Solly ,men,shirts,4.1,925,35,"₹1,699","₹1,049",38%
Men Regular Fit Printed Casual Shirt,GLOBAL NOMAD ,men,shirts,Unknown,Unknown,Unknown,"₹2,499",₹398,84%
Men Slim Fit Solid Spread Collar Casual Shirt,Dennis Lingo ,men,shirts,4,"4,21,701","40,441","₹1,849",₹499,73%
Men Regular Fit Solid Spread Collar Formal Shirt,PETER ENGLAND ,men,shirts,4.3,406,25,"₹1,599",₹959,40%
Men Regular Fit Printed Spread Collar Casual Shirt,Voroxy ,men,shirts,3.9,538,26,"₹1,499",₹299,80%
Men Regular Fit Checkered Spread Collar Casual Shirt,Dark Age ,men,shirts,3.7,"5,914",392,"₹1,399",₹289,79%
Men Slim Fit Printed Spread Collar Casual Shirt,HIGHLANDER ,men,shirts,4.1,"2,117",113,"₹1,049",₹503,52%
Men Regular Fit Checkered Casual Shirt,sti ,men,shirts,4,"28,593","1,877","₹1,499",₹249,83%
Men Regular Fit Self Design Lapel Collar Casual Shirt,Voroxy ,men,shirts,4.1,"2,576",108,"₹1,999",₹399,80%
Men Regular Fit Solid Spread Collar Casual Shirt,MILDIN ,men,shirts,3.9,"2,580",99,"₹1,999",₹379,81%
Men Regular Fit Checkered Casual Shirt,sti ,men,shirts,4,"28,593","1,877","₹1,499",₹249,83%
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Regular Fit Checkered Slim Collar Casual Shirt,tallwalker ,men,shirts,4,"13,573",896,"₹1,287",₹399,68%
Men Regular Fit Checkered Spread Collar Casual Shirt,CAMPUS SUTRA ,men,shirts,4,"3,299",215,"₹1,599",₹719,55%
Men Regular Fit Striped Spread Collar Casual Shirt,sti ,men,shirts,3.9,"4,979",272,"₹1,099",₹249,77%
Men Slim Fit Checkered Spread Collar Casual Shirt,The Indian Garage Co. ,men,shirts,4,659,47,"₹1,749",₹560,67%
Men Regular Fit Solid Spread Collar Casual Shirt,VeBNoR ,men,shirts,4,"3,34,013","26,129",₹999,₹299,70%
Men Regular Fit Checkered Casual Shirt,Roadster ,men,shirts,4,"1,555",100,"₹1,599",₹637,60%
"WHITE HIGH PREMIUM QUALITY Running Shoes For Men  (White , 9)",Aeonik ,men,shoes,3.5,24,2,"₹1,999",₹599,70%
"High Tops For Men  (Bronze, Black , 7)",lejano ,men,shoes,3.9,"13,608",546,"₹1,299",₹472,63%
"MIKE (N) Running Shoes For Men  (Black , 6)",CAMPUS ,men,shoes,4.1,"2,46,757","17,423","₹1,699",₹828,51%
"Lace Up For Men  (Black , 7)",Bata ,men,shoes,4.1,"61,651","4,876","₹1,199",₹839,30%
"Casual Loafers For Men  (Black , 9)",AJANTA ,men,shoes,4,"1,32,085","10,085",₹699,₹319,54%
"Trending Stylish Casual Outdoor Shoes Sneakers For Men  (White, Black , 7)",URBANBOX ,men,shoes,3.8,"45,235","1,411",₹999,₹299,70%
"OGIY RETRO SHOES HIGH PREMIUM QUALITY Sneakers For Men  (Green , 9)",Aeonik ,men,shoes,3.7,"5,157",189,"₹1,999",₹467,76%
"Combo Pack of 2 Casual Shoes Sneakers For Men  (Multicolor , 7)",BIRDE ,men,shoes,3.6,"8,150",479,"₹1,998",₹497,75%
"Sparta Sports shoes for Men | Gym Training Walking Running Shoes For Men Training & Gym Shoes For Men  (White, Orange , 6)",Airson ,men,shoes,4.1,14,1,"₹1,599",₹864,45%
"wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men |running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Multicolor , 6 UK/India)",asian ,men,shoes,4.1,"4,17,354","54,253",₹999,₹624,37%
"Men shoe Running Shoes For Men  (Black , 6)",BRUTON ,men,shoes,3.6,293,5,"₹2,490",₹318,87%
"Sneakers For Men  (Black , 8)",lejano ,men,shoes,3.8,"2,524",129,"₹1,299",₹440,66%
"Lite Sports Shoes Running Shoes For Men  (Blue , 7)",BRUTON ,men,shoes,3.9,"32,992","1,631","₹2,499",₹499,80%
"Lite Casual Shoes Sneakers For Men  (White , 10)",BRUTON ,men,shoes,3.9,463,17,"₹2,499",₹499,80%
"Play Black Color block Casual All day Wear Sneakers for Men (SNK-CSJB) UK 12 Sneakers For Men  (Black , 12)",LOUIS STITCH ,men,shoes,Unknown,Unknown,Unknown,"₹6,999","₹2,999",57%
"MIKE (N) Running Shoes For Men  (Burgundy , 8)",CAMPUS ,men,shoes,4.1,"2,46,757","17,423","₹1,699","₹1,023",39%
"Sneakers For Men  (White, Black, Grey , 7)",lejano ,men,shoes,3.3,6,0,"₹1,299",₹586,54%
"Range of Sports, Runing, Walking, Cricket, Jogging, Sneakers and Casuals For Men  (White , 8)",Nobelite ,men,shoes,4.1,"1,651",92,"₹4,999","₹1,176",76%
"Hustle V2 Sneakers For Men  (Blue , 7)",PUMA ,men,shoes,4.1,"1,31,251","11,437","₹3,999","₹2,765",30%
"Sneakers For Men  (White , 10)",Roadster ,men,shoes,Unknown,Unknown,Unknown,"₹3,699","₹1,702",53%
"High Tops For Men  (Black, Grey , 7)",lejano ,men,shoes,3.7,"9,675",547,"₹1,999",₹482,75%
"Walking Shoes For Men  (Grey , 8)",BIRDE ,men,shoes,3.8,"2,103",117,₹999,₹357,64%
"Precision 6 Basketball Shoes For Men  (Black , 8)",NIKE ,men,shoes,4.3,532,40,"₹5,695","₹3,986",30%
"Slip On For Men  (Black , 9)",Bata ,men,shoes,4.2,"22,651","1,601","₹1,099",₹769,30%
"Downshifter 13 Running Shoes For Men  (Grey , 6)",NIKE ,men,shoes,4.5,180,12,"₹4,295","₹3,650",15%
"Lite Sports Shoes Running Shoes For Men  (Grey , 8)",BRUTON ,men,shoes,3.9,"32,992","1,631","₹2,499",₹499,80%
"CR-1 Sneakers For Men  (Black , 6)",HOTSTYLE ,men,shoes,3.8,"30,233","2,637",₹588,₹320,45%
"Modern Trendy Shoes Sneakers For Men  (Green , 6)",BRUTON ,men,shoes,3.8,"2,842",147,"₹1,299",₹318,75%
"Loafers For Men  (Brown , 10)",Bata ,men,shoes,4.1,"29,507","2,158",₹999,₹699,30%
"ARS-MASTER-2 Sports shoes for Men | Gym Training Walking Running Shoes For Men Running Shoes For Men  (Navy, Orange , 9)",Airson ,men,shoes,Unknown,Unknown,Unknown,"₹2,999","₹1,233",58%
"Sports shoes for men|Stylish Casual sport shoes for men |running shoes for boys Running Shoes For Men  (Grey, Green , 7)",Airson ,men,shoes,3.9,"6,074",376,"₹1,099",₹399,63%
"Canvas Shoes For Men  (Black, White, Grey , 8)",lejano ,men,shoes,3.8,261,10,"₹1,299",₹474,63%
"Trendy Running Shoes For Men  (Blue , 10)",BRUTON ,men,shoes,3.7,"76,146","3,986","₹1,299",₹352,72%
"Slip On For Men  (Black , 7)",Bata ,men,shoes,4.1,387,32,₹999,₹699,30%
"Office Wear Lace Up For Men  (Black , 7)",Bata ,men,shoes,3.8,"9,239","1,008",₹999,₹899,10%
"Casual Sneakers For Men  (Black, White , 7)",Roadster ,men,shoes,Unknown,Unknown,Unknown,"₹3,499","₹1,299",62%
"Modern Trendy Sneakers Shoes Sneakers For Men  (Black, Red , 6)",BRUTON ,men,shoes,3.8,"2,517",170,"₹1,299",₹318,75%
"Premium Lofer Shoes Slip On Sneakers For Men  (Navy , 10)",BIRDE ,men,shoes,3.8,"12,445",756,"₹1,999",₹474,76%
"Loafers For Men  (Blue , 6)",AJANTA ,men,shoes,4,"1,32,085","10,085",₹699,₹319,54%
